image,ground_truth
test001_1.jpg,B 9140 BCD
test001_2.jpg,B 2407 UZD
test001_3.jpg,B 2842 PKM
test002_1.jpg,BG 1352 AE
test003_1.jpg,B 2634 UZF
test003_2.jpg,B 1995 JVK
test004_1.jpg,B 9062 VEH
test005_1.jpg,DD 3798 KM
test006_1.jpg,T 1329 KC
test007_1.jpg,AD 8865 EE
test008_1.jpg,DK 1157 AAB
test008_2.jpg,AA 1997 FE
test009_1.jpg,H 8518 NA
test009_2.jpg,K 1649 GB
test010_1.jpg,B 9416 PCN
test010_2.jpg,H 1147 UY
test011_1.jpg,H 1691 IL
test011_2.jpg,B 9374 RI
test011_3.jpg,D 1204 AIG
test012_1.jpg,E 1887 BA
test013_1.jpg,B 1439 UZP
test013_2.jpg,B 1128 WOS
test014_1.jpg,B 1388 DFX
test015_1.jpg,AD 1798 BT
test016_1.jpg,E 1517 DQ
test017_1.jpg,AD 8982 FS
test018_1.jpg,L 7603 UA
test019_1.jpg,AD 7 HS
test019_2.jpg,B 1959 WYK
test020_1.jpg,AG 8636 EK
test020_2.jpg,AD 1328 PY
test021_1.jpg,BA 1709 DW
test021_2.jpg,W 1236 VZ
test022_1.jpg,W 1825 OZ
test022_2.jpg,L 1202 UE
test022_3.jpg,L 3823 IB
test023_1.jpg,B 1730 JLO
test024_1.jpg,B 2964 TRU
test025_1.jpg,S 5585 LP
test025_2.jpg,L 2858 RR
test025_3.jpg,W 1185 ZO
test025_4.jpg,9840 VU
test026_1.jpg,N 9652 DE
test026_2.jpg,L 3836 ZX
test027_1.jpg,N 1905 IG
test027_2.jpg,B 1109 CLR
test027_3.jpg,L 1840 AA
test028_1.jpg,L 1438 TE
test028_2.jpg,L 1436 AAA
test029_1.jpg,W 1516 WP
test029_2.jpg,G 1986 N
test029_3.jpg,L 1588 OO
test029_4.jpg,L 1436 AAA
test030_1.jpg,S 8062 NF
test030_2.jpg,G 1894 TE
test031_1.jpg,L 1560 JO
test031_2.jpg,L 1568 QO
test031_3.jpg,L 1932 AAZ
test032_1.jpg,B 2754 SKY
test032_2.jpg,W 1192 K
test033_1.jpg,L 4561 VK
test033_2.jpg,L 2693 CA
test033_3.jpg,W 9847 G
test033_4.jpg,L 1762 ABJ
test034_1.jpg,L 1811 SU
test034_2.jpg,W 1167 VO
test034_3.jpg,S 6131 OCF
test034_4.jpg,L 2570 AAD
test035_1.jpg,L 9643 NN
test035_2.jpg,L 5247 CI
test035_3.jpg,L 2498 AAM
test035_4.jpg,W 1696 YO
test036_1.jpg,B 1231 JJA
test036_2.jpg,B 1618 UAE
test037_1.jpg,L 1775 VO
test037_2.jpg,L 300 RX
test037_3.jpg,L 1879 VC
test038_1.jpg,D 1523 YCN
test038_2.jpg,L 1877 ACU
test039_1.jpg,L 1069 VK
test040_1.jpg,S 1595 LL
test041_1.jpg,B 1231 JJA
test042_1.jpg,AD 1174 SF
test043_1.jpg,W 1898 YW
test043_2.jpg,W 1470 PG
test044_1.jpg,L 1930 KF
test044_2.jpg,N 1004 HE
test045_1.jpg,S 1347 LJ
test046_1.jpg,L 1470 ABK
test046_2.jpg,L 1265 MX
test047_1.jpg,N 1524 SY
test047_2.jpg,L 1678 ACE
test048_1.jpg,L 9316 BC
test048_2.jpg,W 1838 AY
test049_1.jpg,N 1376 DE
test049_2.jpg,N 79 AP
test050_1.jpg,L 1265 OF
test050_2.jpg,N 1095 G
test051_1.jpg,N 1710 HC
test052_1.jpg,N 6497 KS
test052_2.jpg,N 5235 ABX
test052_3.jpg,N 4980 KJ
test053_1.jpg,N 1365 AAO
test054_1.jpg,N 1077 AAK
test054_2.jpg,N 1084 AAO
test055_1.jpg,N 1610 KS
test056_1.jpg,N 924 CIA
test056_2.jpg,N 1623 HB
test056_3.jpg,L 1430 HF
test057_1.jpg,N 1342 T
test057_2.jpg,H 4145 AB
test057_3.jpg,N 1396 AAH
test058_1.jpg,N 3153 ACB
test058_2.jpg,N 5829 KJ
test058_3.jpg,N 1780 JL
test059_1.jpg,W 8774 PA
test059_2.jpg,B 9162 FXU
test060_1.jpg,L 1846 JE
test060_2.jpg,M 1457 TA
test061_1.jpg,AA 1971 KJ
test061_2.jpg,BD 1146 DH
test062_1.jpg,B 9654 PEU
test062_2.jpg,AE 7244 S
test063_1.jpg,S 1208 BI
test064_1.jpg,AE 8137 G
test065_1.jpg,H 1706S W
test066_1.jpg,I 1220 HS
test066_2.jpg,H 1790 ZY
test067_1.jpg,L 1855 BR
test067_2.jpg,AB 1274 EV
test068_1.jpg,B 2310 UZS
test068_2.jpg,G 1264 CM
test069_1.jpg,AA 1138 AK
test070_1.jpg,B 2160 TOB
test070_2.jpg,B 2597 BYK
test071_1.jpg,G 9545 AG
test072_1.jpg,BG 1870 IB
test073_1.jpg,T 1187 HB
test073_2.jpg,A 1330 FP
test074_1.jpg,G 1368 GE
test074_2.jpg,B 1081 CMR
test075_1.jpg,G 2474 XZ
test075_2.jpg,G 9173 BP
test075_3.jpg,7066 OF
test076_1.jpg,G 2151 ASF
test076_2.jpg,E 500 MA
test076_3.jpg,G 4689 SN
test077_1.jpg,G 1754 QZ
test078_1.jpg,H 1413 DH
test079_1.jpg,T 1688 GY
test079_2.jpg,A 1260 AJ
test080_1.jpg,D 77 HSB
test080_2.jpg,B 1861 TOI
test080_3.jpg,D 1160 ADE
test081_1.jpg,F 8097 BD
test081_2.jpg,F 1992 AM
test082_1.jpg,E 1824 YZ
test082_2.jpg,B 9093 OEX
test083_1.jpg,F 5052 AAE
test083_2.jpg,F 5452 CO
test084_1.jpg,B 1158 PYP
test084_2.jpg,B 1242 VOY
test085_1.jpg,B 1315 KIF
test085_2.jpg,B 2938 FVJ
test085_3.jpg,B 2560 SKZ
test086_1.jpg,B 2191 NOJ
test086_2.jpg,B 1556 NRC
test087_1.jpg,B 6823 WXR
test087_2.jpg,B 6317 NXK
test087_3.jpg,F 2215 FCO
test087_4.jpg,4039 NHR
test088_1.jpg,B 2190 TYB
test088_2.jpg,B 1902 VKA
test089_1.jpg,D 8609 N
test089_2.jpg,A 8406 ZE
test089_3.jpg,B 1246 KRK
test090_1.jpg,T 9314 E
test090_2.jpg,N 9579 U
test091_1.jpg,B 2910 KZW
test091_2.jpg,B 9721 KXV
test092_1.jpg,B 1104 AAA
test092_2.jpg,T 1579 FN
test092_3.jpg,B 2346 POC
test093_1.jpg,B 2026 BIU
test094_1.jpg,G 1255 EJ
test095_1.jpg,B 1201 KAD
test095_2.jpg,B 2310 JUK
test095_3.jpg,B 28 YHH
test096_1.jpg,B 1354 COJ
test096_2.jpg,B 1502 NRO
test097_1.jpg,B 1650 NOG
test097_2.jpg,B 6354 SVL
test098_1.jpg,B 1779 DOB
test099_1.jpg,B 2017 PBQ
test099_2.jpg,B 1892 WZT
test100_1.jpg,B 1071 PRG
test100_2.jpg,B 2134 PZJ
